"","node","cluster","interactor","description","timepoint"
"286","HORVU.MOREX.r2.2HG0129220",3,FALSE,"MADS-box transcription factor",NA
"287","HORVU.MOREX.r2.2HG0129270",2,FALSE,"50S ribosomal protein L13",NA
"288","HORVU.MOREX.r2.2HG0129900",1,FALSE,"Aspartate carbamoyltransferase",NA
"289","HORVU.MOREX.r2.2HG0129920",4,FALSE,"26S proteasome non-ATPase regulatory subunit-like protein","32H"
"290","HORVU.MOREX.r2.2HG0130220",5,FALSE,"BTB-POZ and MATH domain protein","32H"
"291","HORVU.MOREX.r2.2HG0130400",1,FALSE,"Pyridoxal 5'-phosphate synthase subunit PdxS",NA
"292","HORVU.MOREX.r2.2HG0131360",3,FALSE,"Chaperone protein dnaJ","32H"
"293","HORVU.MOREX.r2.2HG0131410",1,FALSE,"MORC family CW-type zinc finger protein 4",NA
"294","HORVU.MOREX.r2.2HG0132540",1,FALSE,"Phospholipid-transporting ATPase",NA
"295","HORVU.MOREX.r2.2HG0132810",6,FALSE,"50S ribosomal protein L29",NA
"296","HORVU.MOREX.r2.2HG0132970",2,FALSE,"Eukaryotic translation initiation factor 3 subunit H",NA
"297","HORVU.MOREX.r2.2HG0133260",2,FALSE,"Dynamin-like family protein",NA
"298","HORVU.MOREX.r2.2HG0133330",3,FALSE,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein",NA
"299","HORVU.MOREX.r2.2HG0133920",3,FALSE,"F-box protein",NA
"300","HORVU.MOREX.r2.2HG0134130",1,FALSE,"DNA primase large subunit",NA
"301","HORVU.MOREX.r2.2HG0135590",1,FALSE,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",NA
"302","HORVU.MOREX.r2.2HG0136060",1,FALSE,"Acetyl-coenzyme A synthetase","32H"
"303","HORVU.MOREX.r2.2HG0136390",1,FALSE,"Histidinol dehydrogenase","32H"
"304","HORVU.MOREX.r2.2HG0136670",1,FALSE,"1,4-alpha-glucan-branching enzyme","32H"
"305","HORVU.MOREX.r2.2HG0136750",1,FALSE,"ATP synthase subunit d, mitochondrial",NA
"306","HORVU.MOREX.r2.2HG0137270",6,FALSE,"30S ribosomal protein S11",NA
"307","HORVU.MOREX.r2.2HG0137370",6,FALSE,"60S ribosomal protein L5","32H"
"308","HORVU.MOREX.r2.2HG0137850",1,FALSE,"Peroxiredoxin",NA
"309","HORVU.MOREX.r2.2HG0137960",1,FALSE,"U-box domain-containing family protein",NA
"310","HORVU.MOREX.r2.2HG0138210",5,FALSE,"Exocyst complex component, putative",NA
"311","HORVU.MOREX.r2.2HG0138950",6,FALSE,"40S ribosomal protein S10",NA
"312","HORVU.MOREX.r2.2HG0140540",3,FALSE,"Auxin response factor","32H"
"313","HORVU.MOREX.r2.2HG0140700",1,FALSE,"1,4-alpha-glucan-branching enzyme",NA
"314","HORVU.MOREX.r2.2HG0140860",1,FALSE,"12-oxophytodienoate reductase-like protein","32H"
"315","HORVU.MOREX.r2.2HG0141080",4,FALSE,"26S proteasome non-ATPase regulatory subunit-like protein",NA
"316","HORVU.MOREX.r2.2HG0141140",3,FALSE,"PHD finger alfin-like protein",NA
"317","HORVU.MOREX.r2.2HG0141160",1,FALSE,"Heat-shock protein, putative",NA
"318","HORVU.MOREX.r2.2HG0142760",1,FALSE,"Alpha-ketoglutarate-dependent dioxygenase alkB-like protein 2","32H"
"319","HORVU.MOREX.r2.2HG0143120",3,FALSE,"Pectinesterase",NA
"320","HORVU.MOREX.r2.2HG0143170",1,FALSE,"Glyceraldehyde-3-phosphate dehydrogenase",NA
"321","HORVU.MOREX.r2.2HG0143420",3,FALSE,"14-3-3 protein",NA
"322","HORVU.MOREX.r2.2HG0143550",1,FALSE,"Anthranilate synthase","32H"
"323","HORVU.MOREX.r2.2HG0143730",5,FALSE,"Chloroplastic group IIA intron splicing facilitator CRS1, chloroplastic",NA
"324","HORVU.MOREX.r2.2HG0143770",3,FALSE,"Peroxidase",NA
"325","HORVU.MOREX.r2.2HG0145180",1,FALSE,"3-isopropylmalate dehydrogenase","32H"
"326","HORVU.MOREX.r2.2HG0145860",1,FALSE,"Programmed cell death protein 4",NA
"327","HORVU.MOREX.r2.2HG0146120",4,FALSE,"26S proteasome non-atpase regulatory subunit, putative",NA
"328","HORVU.MOREX.r2.2HG0146440",2,FALSE,"DNA-directed RNA polymerase II, putative",NA
"329","HORVU.MOREX.r2.2HG0147850",1,FALSE,"Peroxidase",NA
"330","HORVU.MOREX.r2.2HG0147940",3,FALSE,"Eukaryotic translation initiation factor 4G","32H"
"331","HORVU.MOREX.r2.2HG0148000",1,FALSE,"Hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyltransferase","32H"
"332","HORVU.MOREX.r2.2HG0148280",3,FALSE,"Xylulose kinase",NA
"333","HORVU.MOREX.r2.2HG0148660",1,FALSE,"Polyadenylate-binding protein",NA
"334","HORVU.MOREX.r2.2HG0149270",1,FALSE,"Proliferating cell nuclear antigen",NA
"335","HORVU.MOREX.r2.2HG0149440",1,FALSE,"Dicer-like 3",NA
"336","HORVU.MOREX.r2.2HG0149680",3,FALSE,"Caleosin",NA
"337","HORVU.MOREX.r2.2HG0149900",3,FALSE,"Caleosin",NA
"338","HORVU.MOREX.r2.2HG0150150",3,FALSE,"Disease resistance protein (NBS-LRR class) family",NA
"339","HORVU.MOREX.r2.2HG0150540",1,FALSE,"Phenylalanine ammonia-lyase","32H"
"340","HORVU.MOREX.r2.2HG0151180",3,FALSE,"Response regulator",NA
"341","HORVU.MOREX.r2.2HG0152140",5,FALSE,"Thioredoxin",NA
"342","HORVU.MOREX.r2.2HG0152840",1,FALSE,"Elongation factor G",NA
"343","HORVU.MOREX.r2.2HG0152930",3,FALSE,"Homeobox leucine zipper protein",NA
"344","HORVU.MOREX.r2.2HG0152980",1,FALSE,"Cytochrome P450 family protein",NA
"345","HORVU.MOREX.r2.2HG0153170",3,FALSE,"Aldehyde dehydrogenase",NA
"346","HORVU.MOREX.r2.2HG0153650",1,FALSE,"WRKY transcription factor",NA
"347","HORVU.MOREX.r2.2HG0154600",1,FALSE,"4-hydroxy-tetrahydrodipicolinate synthase",NA
"348","HORVU.MOREX.r2.2HG0156520",3,FALSE,"40S ribosomal protein S25, putative",NA
"349","HORVU.MOREX.r2.2HG0157120",3,FALSE,"Cysteine and histidine-rich domain-containing protein RAR1",NA
"350","HORVU.MOREX.r2.2HG0157290",3,FALSE,"Homeobox-leucine zipper family protein",NA
"351","HORVU.MOREX.r2.2HG0157420",1,FALSE,"Peptide transporter",NA
"352","HORVU.MOREX.r2.2HG0157790",1,FALSE,"Argonaute family protein",NA
"353","HORVU.MOREX.r2.2HG0157800",1,FALSE,"Argonaute family protein",NA
"354","HORVU.MOREX.r2.2HG0158190",3,FALSE,"40S ribosomal protein S25, putative",NA
"355","HORVU.MOREX.r2.2HG0158350",6,FALSE,"30S ribosomal protein S17",NA
"356","HORVU.MOREX.r2.2HG0158360",3,FALSE,"Cell differentiation protein rcd1, putative, expressed",NA
"357","HORVU.MOREX.r2.2HG0158480",4,FALSE,"Coatomer subunit epsilon",NA
"358","HORVU.MOREX.r2.2HG0158670",4,FALSE,"26S proteasome non-atpase regulatory subunit, putative",NA
"359","HORVU.MOREX.r2.2HG0158780",1,FALSE,"Oxygen-dependent coproporphyrinogen-III oxidase",NA
"360","HORVU.MOREX.r2.2HG0159710",6,FALSE,"60S ribosomal protein L7",NA
"361","HORVU.MOREX.r2.2HG0159750",1,FALSE,"Calcium-transporting ATPase","32H"
"362","HORVU.MOREX.r2.2HG0159960",1,FALSE,"Villin",NA
"363","HORVU.MOREX.r2.2HG0160140",1,FALSE,"Kinase-like protein",NA
"364","HORVU.MOREX.r2.2HG0160160",1,FALSE,"Pectin acetylesterase",NA
"365","HORVU.MOREX.r2.2HG0160350",5,FALSE,"DAG protein, chloroplastic",NA
"366","HORVU.MOREX.r2.2HG0161120",6,FALSE,"Ribosomal protein L11",NA
"367","HORVU.MOREX.r2.2HG0161350",4,FALSE,"26S proteasome regulatory subunit family protein",NA
"368","HORVU.MOREX.r2.2HG0161930",3,FALSE,"Ethylene-responsive transcription factor",NA
"369","HORVU.MOREX.r2.2HG0162190",1,FALSE,"Receptor-like kinase",NA
"370","HORVU.MOREX.r2.2HG0162350",1,FALSE,"Imidazoleglycerol-phosphate dehydratase",NA
"371","HORVU.MOREX.r2.2HG0162580",1,FALSE,"D-2-hydroxyglutarate dehydrogenase",NA
"372","HORVU.MOREX.r2.2HG0162660",1,FALSE,"Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein",NA
"373","HORVU.MOREX.r2.2HG0163370",5,FALSE,"Chaperone protein DNAj, putative","32H"
"374","HORVU.MOREX.r2.2HG0164620",5,FALSE,"AP-5 complex subunit zeta-1",NA
"375","HORVU.MOREX.r2.2HG0165450",1,FALSE,"Kinesin-like protein",NA
"376","HORVU.MOREX.r2.2HG0166680",4,FALSE,"Adenosylhomocysteinase","32H"
"377","HORVU.MOREX.r2.2HG0166780",1,FALSE,"Cytochrome P450 family protein","32H"
"378","HORVU.MOREX.r2.2HG0166800",3,FALSE,"Protein transport SEC13-like protein","32H"
"379","HORVU.MOREX.r2.2HG0167210",1,FALSE,"V-type proton ATPase subunit a",NA
"380","HORVU.MOREX.r2.2HG0167320",4,FALSE,"Adenosylhomocysteinase","32H"
"381","HORVU.MOREX.r2.2HG0167640",4,FALSE,"Eukaryotic translation initiation factor 3 subunit F",NA
"382","HORVU.MOREX.r2.2HG0167710",3,FALSE,"Molybdopterin biosynthesis protein CNX1",NA
"383","HORVU.MOREX.r2.2HG0167720",1,FALSE,"DNA topoisomerase 1",NA
"384","HORVU.MOREX.r2.2HG0168290",1,FALSE,"C2 domain-containing protein",NA
"385","HORVU.MOREX.r2.2HG0168500",3,FALSE,"Plasma membrane ATPase",NA
"386","HORVU.MOREX.r2.2HG0168870",3,FALSE,"COP9 signalosome complex subunit 5",NA
"387","HORVU.MOREX.r2.2HG0169770",1,FALSE,"D-3-phosphoglycerate dehydrogenase","32H"
"388","HORVU.MOREX.r2.2HG0170010",3,FALSE,"GRAS transcription factor",NA
"389","HORVU.MOREX.r2.2HG0170020",1,FALSE,"4-hydroxy-tetrahydrodipicolinate synthase",NA
"390","HORVU.MOREX.r2.2HG0170530",8,FALSE,"RING/U-box superfamily protein",NA
"391","HORVU.MOREX.r2.2HG0170680",1,FALSE,"Glycerol kinase",NA
"392","HORVU.MOREX.r2.2HG0172010",3,FALSE,"transcription factor-like protein",NA
"393","HORVU.MOREX.r2.2HG0172390",2,FALSE,"N-alpha-acetyltransferase",NA
"394","HORVU.MOREX.r2.2HG0173140",1,FALSE,"Superoxide dismutase",NA
"395","HORVU.MOREX.r2.2HG0173880",3,FALSE,"Mevalonate kinase",NA
"396","HORVU.MOREX.r2.2HG0174570",1,FALSE,"Pyruvate kinase","32H"
"397","HORVU.MOREX.r2.2HG0174910",1,FALSE,"Plastid division protein CDP1, chloroplastic",NA
"398","HORVU.MOREX.r2.2HG0175470",3,FALSE,"Response regulator","32H"
"399","HORVU.MOREX.r2.2HG0177360",3,FALSE,"Heat shock 70 kDa protein",NA
"400","HORVU.MOREX.r2.2HG0177590",1,FALSE,"ATP-binding ABC transporter",NA
"401","HORVU.MOREX.r2.2HG0177640",1,FALSE,"U-box domain-containing family protein",NA
"402","HORVU.MOREX.r2.2HG0178450",3,FALSE,"Glutathione S-transferase",NA
"403","HORVU.MOREX.r2.2HG0179350",1,FALSE,"CoA ligase",NA
"404","HORVU.MOREX.r2.2HG0180170",1,FALSE,"1-deoxy-D-xylulose 5-phosphate synthase",NA
"405","HORVU.MOREX.r2.2HG0180380",2,FALSE,"Importin beta 1",NA
"406","HORVU.MOREX.r2.2HG0180540",2,FALSE,"DNA-directed RNA polymerase subunit",NA
"407","HORVU.MOREX.r2.2HG0180650",3,FALSE,"Germin-like protein",NA
"408","HORVU.MOREX.r2.3HG0181430",1,FALSE,"Subtilisin-like protease",NA
"409","HORVU.MOREX.r2.3HG0181790",3,FALSE,"Sucrose-phosphate synthase",NA
"410","HORVU.MOREX.r2.3HG0182620",6,FALSE,"50S ribosomal protein L6",NA
"411","HORVU.MOREX.r2.3HG0182640",3,FALSE,"O-acyltransferase WSD1",NA
"412","HORVU.MOREX.r2.3HG0182650",6,FALSE,"50S ribosomal protein L6",NA
"413","HORVU.MOREX.r2.3HG0183470",3,FALSE,"O-acyltransferase WSD1",NA
"414","HORVU.MOREX.r2.3HG0185770",1,FALSE,"Phenylalanine ammonia-lyase",NA
"415","HORVU.MOREX.r2.3HG0186250",2,FALSE,"Eukaryotic translation initiation factor 3 subunit A",NA
"416","HORVU.MOREX.r2.3HG0186340",1,FALSE,"Alkyl transferase",NA
"417","HORVU.MOREX.r2.3HG0189300",1,FALSE,"Ras family protein",NA
"418","HORVU.MOREX.r2.3HG0190430",1,FALSE,"Actin cross-linking protein, putative",NA
"419","HORVU.MOREX.r2.3HG0190840",2,FALSE,"DNA/RNA helicase protein","32H"
"420","HORVU.MOREX.r2.3HG0191210",6,FALSE,"WD40 repeat-like protein",NA
"421","HORVU.MOREX.r2.3HG0191450",1,FALSE,"Cytochrome P450",NA
"422","HORVU.MOREX.r2.3HG0191720",3,FALSE,"Chaperone protein DnaJ",NA
"423","HORVU.MOREX.r2.3HG0191770",1,FALSE,"Fatty acid oxidation complex subunit alpha","32H"
"424","HORVU.MOREX.r2.3HG0192030",3,TRUE,"E3 Ubiquitin ligase family protein",NA
"425","HORVU.MOREX.r2.3HG0192470",1,FALSE,"DNA repair protein-like protein",NA
"426","HORVU.MOREX.r2.3HG0192970",6,FALSE,"30S ribosomal protein S7",NA
"427","HORVU.MOREX.r2.3HG0193600",1,FALSE,"Aspartate--tRNA ligase",NA
"428","HORVU.MOREX.r2.3HG0194060",1,FALSE,"Raffinose synthase family protein","32H"
"429","HORVU.MOREX.r2.3HG0194640",1,FALSE,"Pentatricopeptide repeat-containing protein",NA
"430","HORVU.MOREX.r2.3HG0195060",1,FALSE,"Receptor kinase",NA
"431","HORVU.MOREX.r2.3HG0195150",1,FALSE,"ATP-dependent RNA helicase-like protein",NA
"432","HORVU.MOREX.r2.3HG0195580",1,FALSE,"Pyruvate decarboxylase",NA
"433","HORVU.MOREX.r2.3HG0195850",3,FALSE,"Ectonucleotide pyrophosphatase/phosphodiesterase, putative","32H"
"434","HORVU.MOREX.r2.3HG0196050",1,FALSE,"Protein IQ-DOMAIN 1",NA
"435","HORVU.MOREX.r2.3HG0196060",2,FALSE,"Myb-like transcription factor family protein",NA
"436","HORVU.MOREX.r2.3HG0196390",1,FALSE,"Mitochondrial-processing peptidase subunit alpha","32H"
"437","HORVU.MOREX.r2.3HG0196440",1,FALSE,"ATP-dependent 6-phosphofructokinase",NA
"438","HORVU.MOREX.r2.3HG0196550",3,FALSE,"Auxin-responsive protein",NA
"439","HORVU.MOREX.r2.3HG0196610",4,FALSE,"Malic enzyme","32H"
"440","HORVU.MOREX.r2.3HG0197100",2,FALSE,"Glutamine--tRNA ligase",NA
"441","HORVU.MOREX.r2.3HG0197840",3,FALSE,"COP9 signalosome complex subunit 5",NA
"442","HORVU.MOREX.r2.3HG0199200",1,FALSE,"Aminotransferase","32H"
"443","HORVU.MOREX.r2.3HG0199680",1,FALSE,"Glycosyltransferase","32H"
"444","HORVU.MOREX.r2.3HG0201840",3,FALSE,"Kinase family protein",NA
"445","HORVU.MOREX.r2.3HG0201870",6,FALSE,"50S ribosomal protein L5",NA
"446","HORVU.MOREX.r2.3HG0202100",1,FALSE,"Subtilisin-like protease",NA
"447","HORVU.MOREX.r2.3HG0202130",1,FALSE,"Subtilisin-like protease","32H"
"448","HORVU.MOREX.r2.3HG0202320",3,FALSE,"Agamous MADS-box transcription factor",NA
"449","HORVU.MOREX.r2.3HG0202450",5,FALSE,"Protein kinase",NA
"450","HORVU.MOREX.r2.3HG0202840",6,FALSE,"60S ribosomal protein L27",NA
"451","HORVU.MOREX.r2.3HG0203270",5,FALSE,"TPR repeat-containing thioredoxin TTL1",NA
"452","HORVU.MOREX.r2.3HG0203420",3,FALSE,"Protein transport SEC13-like protein",NA
"453","HORVU.MOREX.r2.3HG0203860",3,FALSE,"Transcription factor, TCP",NA
"454","HORVU.MOREX.r2.3HG0204770",3,FALSE,"Non-specific serine/threonine protein kinase",NA
"455","HORVU.MOREX.r2.3HG0206150",1,FALSE,"Peptidyl-prolyl cis-trans isomerase",NA
"456","HORVU.MOREX.r2.3HG0206280",1,FALSE,"Receptor-like kinase",NA
"457","HORVU.MOREX.r2.3HG0206600",2,FALSE,"Eukaryotic translation initiation factor 3 subunit L",NA
"458","HORVU.MOREX.r2.3HG0207440",2,FALSE,"Exportin-2",NA
"459","HORVU.MOREX.r2.3HG0207880",1,FALSE,"Phosphate translocator",NA
"460","HORVU.MOREX.r2.3HG0208690",1,FALSE,"Kinesin-like protein",NA
"461","HORVU.MOREX.r2.3HG0209060",3,FALSE,"WRKY transcription factor","32H"
"462","HORVU.MOREX.r2.3HG0209210",1,FALSE,"Isocitrate dehydrogenase [NADP]",NA
"463","HORVU.MOREX.r2.3HG0209630",3,FALSE,"Protein kinase",NA
"464","HORVU.MOREX.r2.3HG0209860",3,FALSE,"Importin subunit alpha",NA
"465","HORVU.MOREX.r2.3HG0210350",3,FALSE,"Topless-related 1-like protein",NA
"466","HORVU.MOREX.r2.3HG0210540",2,FALSE,"Syntaxin related protein",NA
"467","HORVU.MOREX.r2.3HG0210920",1,FALSE,"Kinase-like protein",NA
"468","HORVU.MOREX.r2.3HG0212800",2,FALSE,"Glutamate--tRNA ligase",NA
"469","HORVU.MOREX.r2.3HG0212880",1,FALSE,"Ubiquitin-conjugating enzyme E2",NA
"470","HORVU.MOREX.r2.3HG0213550",1,FALSE,"RING/U-box superfamily protein",NA
"471","HORVU.MOREX.r2.3HG0213560",1,FALSE,"Pyruvate kinase","32H"
"472","HORVU.MOREX.r2.3HG0214260",1,FALSE,"WAT1-related protein",NA
"473","HORVU.MOREX.r2.3HG0214280",4,FALSE,"Coatomer subunit beta","32H"
"474","HORVU.MOREX.r2.3HG0214390",1,FALSE,"ATP-citrate synthase, putative","32H"
"475","HORVU.MOREX.r2.3HG0214490",4,FALSE,"Coatomer subunit beta","32H"
"476","HORVU.MOREX.r2.3HG0214610",1,FALSE,"Pentatricopeptide repeat-containing protein",NA
"477","HORVU.MOREX.r2.3HG0214830",1,FALSE,"Ribosomal protein S4",NA
"478","HORVU.MOREX.r2.3HG0215440",3,FALSE,"Kinase family protein","32H"
"479","HORVU.MOREX.r2.3HG0218480",1,FALSE,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",NA
"480","HORVU.MOREX.r2.3HG0218610",1,FALSE,"Ubiquitin fusion degradation protein 1-like protein",NA
"481","HORVU.MOREX.r2.3HG0219750",3,FALSE,"V-type proton ATPase subunit F",NA
"482","HORVU.MOREX.r2.3HG0220570",1,FALSE,"Vacuolar-processing enzyme","32H"
"483","HORVU.MOREX.r2.3HG0220580",1,FALSE,"IAA-amino acid hydrolase ILR1, putative",NA
"484","HORVU.MOREX.r2.3HG0220610",1,FALSE,"DUF538 family protein (Protein of unknown function, DUF538)",NA
"485","HORVU.MOREX.r2.3HG0220940",1,FALSE,"Ubiquitin carboxyl-terminal hydrolase","32H"
"486","HORVU.MOREX.r2.3HG0221240",1,FALSE,"Carbamoyl-phosphate synthase large chain","32H"
"487","HORVU.MOREX.r2.3HG0221800",1,FALSE,"Myosin",NA
"488","HORVU.MOREX.r2.3HG0221890",3,FALSE,"Protein phosphatase 2C",NA
"489","HORVU.MOREX.r2.3HG0222010",3,FALSE,"Beta-galactosidase",NA
"490","HORVU.MOREX.r2.3HG0222240",5,FALSE,"Kinase family protein",NA
"491","HORVU.MOREX.r2.3HG0222280",1,FALSE,"V-type proton ATPase subunit d","32H"
"492","HORVU.MOREX.r2.3HG0222430",1,FALSE,"DNA damage-binding protein 1",NA
"493","HORVU.MOREX.r2.3HG0222920",5,FALSE,"zinc finger FYVE domain protein",NA
"494","HORVU.MOREX.r2.3HG0223610",1,FALSE,"Aspartyl protease family protein",NA
"495","HORVU.MOREX.r2.3HG0223660",1,FALSE,"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B",NA
"496","HORVU.MOREX.r2.3HG0224180",3,FALSE,"Ubiquitin-related family protein",NA
"497","HORVU.MOREX.r2.3HG0225160",5,FALSE,"TPR repeat-containing thioredoxin TTL1",NA
"498","HORVU.MOREX.r2.3HG0225410",2,FALSE,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",NA
"499","HORVU.MOREX.r2.3HG0226460",1,FALSE,"Uroporphyrinogen decarboxylase",NA
"500","HORVU.MOREX.r2.3HG0226490",3,FALSE,"Calcium-dependent protein kinase","32H"
"501","HORVU.MOREX.r2.3HG0226630",3,TRUE,"SGT1",NA
"502","HORVU.MOREX.r2.3HG0226690",3,FALSE,"Heat shock transcription factor",NA
"503","HORVU.MOREX.r2.3HG0226720",1,FALSE,"Beta-adaptin-like protein",NA
"504","HORVU.MOREX.r2.3HG0227140",1,FALSE,"Aspartic proteinase",NA
"505","HORVU.MOREX.r2.3HG0227500",3,FALSE,"MYB transcription factor",NA
"506","HORVU.MOREX.r2.3HG0227930",1,FALSE,"Isoprenylcysteine alpha-carbonyl methylesterase ICME",NA
"507","HORVU.MOREX.r2.3HG0228210",3,FALSE,"Elongation factor",NA
"508","HORVU.MOREX.r2.3HG0229140",1,FALSE,"Isocitrate dehydrogenase [NADP]","32H"
"509","HORVU.MOREX.r2.3HG0229290",1,FALSE,"Long-Chain Acyl-CoA Synthetase",NA
"510","HORVU.MOREX.r2.3HG0229440",3,FALSE,"Ubiquitin conjugating enzyme E2","32H"
"511","HORVU.MOREX.r2.3HG0229470",1,FALSE,"Potassium channel",NA
"512","HORVU.MOREX.r2.3HG0229480",4,FALSE,"V-type proton ATPase subunit E","32H"
"513","HORVU.MOREX.r2.3HG0230030",3,FALSE,"50S ribosomal protein L7/L12",NA
"514","HORVU.MOREX.r2.3HG0230390",5,FALSE,"Mitogen-activated protein kinase",NA
"515","HORVU.MOREX.r2.3HG0230660",2,FALSE,"Vacuolar protein sorting-associated protein 16",NA
"516","HORVU.MOREX.r2.3HG0230780",1,FALSE,"Hydroxyacylglutathione hydrolase",NA
"517","HORVU.MOREX.r2.3HG0230880",1,FALSE,"Splicing factor U2af small subunit A",NA
"518","HORVU.MOREX.r2.3HG0231260",5,FALSE,"Serine/threonine-protein kinase",NA
"519","HORVU.MOREX.r2.3HG0231480",1,FALSE,"Ubiquitin-conjugating enzyme E2",NA
"520","HORVU.MOREX.r2.3HG0232160",6,FALSE,"60S ribosomal protein L37a",NA
"521","HORVU.MOREX.r2.3HG0232520",1,FALSE,"Glutamate synthase, putative","32H"
"522","HORVU.MOREX.r2.3HG0232580",3,FALSE,"Splicing factor 3A subunit 3",NA
"523","HORVU.MOREX.r2.3HG0232920",3,FALSE,"Guanine nucleotide-binding protein beta subunit-like protein",NA
"524","HORVU.MOREX.r2.3HG0233180",1,FALSE,"Alpha/beta-Hydrolases superfamily protein",NA
"525","HORVU.MOREX.r2.3HG0233390",2,FALSE,"Serine/threonine-protein phosphatase",NA
"526","HORVU.MOREX.r2.3HG0233730",1,FALSE,"Threonine synthase",NA
"527","HORVU.MOREX.r2.3HG0234350",3,FALSE,"Myb transcription factor",NA
"528","HORVU.MOREX.r2.3HG0234750",1,FALSE,"Sec14p-like phosphatidylinositol transfer family protein",NA
"529","HORVU.MOREX.r2.3HG0234900",1,FALSE,"AP-1 complex subunit mu-1",NA
"530","HORVU.MOREX.r2.3HG0235390",2,FALSE,"Vesicle transport V-SNARE protein","32H"
"531","HORVU.MOREX.r2.3HG0235600",5,FALSE,"Protein IQ-DOMAIN 1",NA
"532","HORVU.MOREX.r2.3HG0235620",3,FALSE,"Myb transcription factor",NA
"533","HORVU.MOREX.r2.3HG0235760",4,FALSE,"ATP synthase subunit beta",NA
"534","HORVU.MOREX.r2.3HG0235810",3,FALSE,"Glycine dehydrogenase decarboxylating protein",NA
"535","HORVU.MOREX.r2.3HG0236180",3,FALSE,"Protein phosphatase 2C",NA
"536","HORVU.MOREX.r2.3HG0236250",3,FALSE,"WRKY transcription factor",NA
"537","HORVU.MOREX.r2.3HG0236630",1,FALSE,"Receptor kinase",NA
"538","HORVU.MOREX.r2.3HG0236920",1,FALSE,"NADH-quinone oxidoreductase subunit B",NA
"539","HORVU.MOREX.r2.3HG0236950",1,FALSE,"Serine acetyltransferase",NA
"540","HORVU.MOREX.r2.3HG0237100",1,FALSE,"Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, putative",NA
"541","HORVU.MOREX.r2.3HG0237190",6,FALSE,"40S ribosomal protein S24",NA
"542","HORVU.MOREX.r2.3HG0237390",3,FALSE,"Pleiotropic drug resistance ABC transporter",NA
"543","HORVU.MOREX.r2.3HG0237800",3,FALSE,"Non-specific serine/threonine protein kinase",NA
"544","HORVU.MOREX.r2.3HG0238770",1,FALSE,"ATP-dependent 6-phosphofructokinase","32H"
"545","HORVU.MOREX.r2.3HG0238900",3,FALSE,"Auxin-responsive protein",NA
"546","HORVU.MOREX.r2.3HG0239480",5,FALSE,"Protein kinase",NA
"547","HORVU.MOREX.r2.3HG0239800",1,FALSE,"50S ribosomal protein L13",NA
"548","HORVU.MOREX.r2.3HG0239830",1,FALSE,"Trehalose-6-phosphate synthase 6",NA
"549","HORVU.MOREX.r2.3HG0239900",1,FALSE,"Cellulose synthase",NA
"550","HORVU.MOREX.r2.3HG0240950",1,FALSE,"Phosphoenolpyruvate carboxylase",NA
"551","HORVU.MOREX.r2.3HG0241140",1,FALSE,"Aspartate aminotransferase",NA
"552","HORVU.MOREX.r2.3HG0241180",3,FALSE,"Chaperone DnaK",NA
"553","HORVU.MOREX.r2.3HG0241490",7,FALSE,"Ribosomal protein S24/S35, mitochondrial",NA
"554","HORVU.MOREX.r2.3HG0241500",1,FALSE,"Clustered mitochondria protein",NA
"555","HORVU.MOREX.r2.3HG0241540",1,FALSE,"Clustered mitochondria protein",NA
"556","HORVU.MOREX.r2.3HG0242960",6,FALSE,"60S ribosomal protein L27",NA
"557","HORVU.MOREX.r2.3HG0244180",1,FALSE,"Secretory carrier-associated membrane protein","32H"
"558","HORVU.MOREX.r2.3HG0244390",2,FALSE,"Eukaryotic translation initiation factor 3 subunit L",NA
"559","HORVU.MOREX.r2.3HG0244970",1,FALSE,"Pectinesterase",NA
"560","HORVU.MOREX.r2.3HG0245260",1,FALSE,"Subtilisin-like protease",NA
"561","HORVU.MOREX.r2.3HG0246050",5,FALSE,"Stomatal closure-related actin-binding protein 1",NA
"562","HORVU.MOREX.r2.3HG0246060",4,FALSE,"DNA-directed RNA polymerase II",NA
"563","HORVU.MOREX.r2.3HG0246070",1,FALSE,"Tubulin beta chain",NA
"564","HORVU.MOREX.r2.3HG0246170",1,FALSE,"Dihydropyrimidinase",NA
"565","HORVU.MOREX.r2.3HG0246350",5,FALSE,"U3 small nucleolar RNA-associated protein 11",NA
"566","HORVU.MOREX.r2.3HG0247040",6,FALSE,"60S ribosomal protein L24","32H"
"567","HORVU.MOREX.r2.3HG0247440",1,FALSE,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",NA
"568","HORVU.MOREX.r2.3HG0247690",3,FALSE,"Ubiquitin-conjugating enzyme E2",NA
"569","HORVU.MOREX.r2.3HG0247750",1,FALSE,"Cytochrome P450 family cinnamate 4-hydroxylase","32H"
"570","HORVU.MOREX.r2.3HG0248340",1,FALSE,"4,5-dioxygenase-like protein",NA
"571","HORVU.MOREX.r2.3HG0248370",1,FALSE,"4,5-dioxygenase-like protein",NA
