,node,degree,betweenness,closeness,eigcent,bdc,diffslc_09,description,MLA_group
783,HORVU.MOREX.r2.1HG0066930,7,0,8.77E-07,0.006223929,1.543481673,0.159949703,RNA binding protein,HvInt
784,HORVU.MOREX.r2.1HG0066990,2,0,8.76E-07,0.000258436,1.777868763,0.178019469,Phosphotransferase,HvInt
785,HORVU.MOREX.r2.1HG0067220,2,0,8.75E-07,4.65E-05,0.973862058,0.09742805,"WD-repeat protein, putative",HvInt
786,HORVU.MOREX.r2.1HG0067230,96,43047.84774,8.78E-07,0.010935793,43.54021571,4.363863785,Non-specific serine/threonine protein kinase,MLA
787,HORVU.MOREX.r2.1HG0067330,5,7027,8.78E-07,0.001932622,1.05637164,0.107376524,Hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyltransferase,MLA
788,HORVU.MOREX.r2.1HG0067380,3,0,8.77E-07,0.00013643,2.519482208,0.252071008,Ubiquitin domain-containing protein,HvInt
789,HORVU.MOREX.r2.1HG0067400,7,3,8.77E-07,0.00023499,4.441660012,0.444377492,Fatty acid oxidation complex subunit alpha,HvInt
790,HORVU.MOREX.r2.1HG0067440,25,35098,8.77E-07,0.000344962,8.107061675,0.811016633,Like-COV protein,HvInt
791,HORVU.MOREX.r2.1HG0067490,5,0,8.76E-07,0.007956302,2.446210582,0.25178173,Malate dehydrogenase,MLA
792,HORVU.MOREX.r2.1HG0067520,94,62591.74178,8.78E-07,0.052317336,42.18596179,4.265681781,26S proteasome non-ATPase regulatory subunit 1,MLA
793,HORVU.MOREX.r2.1HG0067540,4,0,8.73E-07,0.000193923,3.349141228,0.335088654,50S ribosomal protein L20,HvInt
794,HORVU.MOREX.r2.1HG0067690,7,0.166666667,8.78E-07,1.29E-05,2.606607606,0.260672332,Respiratory burst oxidase,HvInt
795,HORVU.MOREX.r2.1HG0067880,3,0,8.77E-07,2.40E-06,0.944279388,0.094430103,"Ring finger protein, putative",HvInt
796,HORVU.MOREX.r2.1HG0068000,10,266646.2611,8.78E-07,8.52E-05,1.163582919,0.116434933,Alpha-glucan water dikinase,MLA
797,HORVU.MOREX.r2.1HG0068220,1,0,8.77E-07,1.84E-05,0.866263316,0.086642912,Ethylene-responsive transcription factor,HvInt
798,HORVU.MOREX.r2.1HG0068430,19,7,8.77E-07,0.006148523,7.229252938,0.728458965,Threonine synthase,MLA
799,HORVU.MOREX.r2.1HG0068470,1,0,8.77E-07,1.36E-07,0.818323351,0.081832457,"Protein kinase family protein, putative, expressed",HvInt
800,HORVU.MOREX.r2.1HG0068540,6,0,8.77E-07,0.002685441,2.085323658,0.210949263,Lactation elevated protein 1,HvInt
801,HORVU.MOREX.r2.1HG0068730,92,101193.03,8.78E-07,0.018998152,31.82583315,3.199681651,Serine/threonine-protein phosphatase,MLA
802,HORVU.MOREX.r2.1HG0068780,10,0,8.76E-07,0.009304308,5.954649763,0.603838854,"GDP-mannose 4,6-dehydratase",MLA
803,HORVU.MOREX.r2.1HG0068840,3,0,8.76E-07,8.59E-05,1.107177226,0.110795002,Protein kinase family protein,HvInt
804,HORVU.MOREX.r2.1HG0068990,13,0,8.78E-07,0.000209369,4.014316973,0.40162013,Heat shock transcription factor,HvInt
805,HORVU.MOREX.r2.1HG0069010,9,7025,8.77E-07,0.000670885,2.211125175,0.221716314,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",HvInt
806,HORVU.MOREX.r2.1HG0069020,0,0,1.94E-08,8.02E-05,0,7.22E-05,Thymidine kinase,HvInt
807,HORVU.MOREX.r2.1HG0069340,330,853381.1506,8.78E-07,0.156671679,107.6055867,10.90156318,Guanine nucleotide-binding protein subunit beta-1,MLA
808,HORVU.MOREX.r2.1HG0069440,1,0,8.78E-07,3.31E-07,0.800929721,0.08009327,Microtubule-associated protein-like,HvInt
809,HORVU.MOREX.r2.1HG0069450,4,0,8.77E-07,0.00175447,1.493118274,0.15089085,ATP synthase subunit beta,HvInt
810,HORVU.MOREX.r2.1HG0069590,68,34800.31656,8.78E-07,0.094685774,22.82665724,2.367882921,Nucleolar family protein,MLA
811,HORVU.MOREX.r2.1HG0069760,28,21072,8.77E-07,0.007458957,7.845564713,0.791269532,Histone chaperone,HvInt
812,HORVU.MOREX.r2.1HG0069800,108,33892.63589,8.78E-07,0.001411596,22.06211329,2.207481765,Protein DETOXIFICATION,HvInt
813,HORVU.MOREX.r2.1HG0069830,317,42786.04619,8.78E-07,0.002225609,62.70217604,6.272220651,ER membrane protein complex subunit 6,HvInt
814,HORVU.MOREX.r2.1HG0069900,6,0,8.77E-07,0.006971381,1.37519418,0.143793661,Cyclin-D1-binding protein 1,MLA
815,HORVU.MOREX.r2.1HG0070020,11,0,8.77E-07,0.010559243,3.202576068,0.329760926,Asparagine synthetase,MLA
816,HORVU.MOREX.r2.1HG0070040,3,0,8.76E-07,0.00033094,2.704230513,0.270720897,Serine/threonine protein phosphatase 2A regulatory subunit B,HvInt
817,HORVU.MOREX.r2.1HG0070120,79,39275.79294,8.78E-07,0.065229004,34.28330635,3.487036738,RuvB-like helicase,MLA
818,HORVU.MOREX.r2.1HG0070130,119,89.81538931,8.78E-07,0.758503406,81.45668555,8.82832162,60S ribosomal protein l35a,HvInt
819,HORVU.MOREX.r2.1HG0070250,6,21075,8.77E-07,7.25E-05,2.656669859,0.265732259,DNA replication complex GINS protein PSF2,HvInt
820,HORVU.MOREX.r2.1HG0070270,15,35105,8.77E-07,0.003758692,7.229724539,0.726355276,1-deoxy-D-xylulose 5-phosphate synthase,MLA
821,HORVU.MOREX.r2.1HG0070320,11,7032,8.76E-07,0.009181392,3.746662066,0.38292946,Dynamin-related protein,MLA
822,HORVU.MOREX.r2.1HG0070350,26,139.1465363,8.78E-07,0.000841873,3.423129484,0.343070634,O-acyltransferase WSD1,HvInt
823,HORVU.MOREX.r2.1HG0070360,13,0,8.78E-07,0.000152034,2.647208909,0.264857722,Cytochrome b561 and DOMON domain-containing protein,HvInt
824,HORVU.MOREX.r2.1HG0070400,5,7027,8.78E-07,3.56E-05,0.930010806,0.093033128,Non specific phospholipase C,HvInt
825,HORVU.MOREX.r2.1HG0070410,32,82192.34292,8.78E-07,5.51E-06,4.691114693,0.469116432,Purine permease,HvInt
826,HORVU.MOREX.r2.1HG0070430,32,0,8.78E-07,0.000301784,6.22325263,0.622596869,Purine permease,HvInt
827,HORVU.MOREX.r2.1HG0070460,32,68328.13708,8.78E-07,5.51E-06,4.691114693,0.469116432,Purine permease,HvInt
828,HORVU.MOREX.r2.1HG0070480,101,13335.41486,8.78E-07,0.659254855,65.90902813,7.184232182,60S ribosomal protein L37a,MLA
829,HORVU.MOREX.r2.1HG0070690,9,0,8.78E-07,0.002861571,5.321397971,0.534715211,ARM repeat superfamily protein,HvInt
830,HORVU.MOREX.r2.1HG0070800,2,0,8.76E-07,8.80E-08,0.928849607,0.09288504,Ubiquitin-conjugating enzyme E2,HvInt
831,HORVU.MOREX.r2.1HG0070820,4,0,8.73E-07,0.00019618,3.365555317,0.336732094,50S ribosomal protein L21,HvInt
832,HORVU.MOREX.r2.1HG0070830,12,0,8.78E-07,0.00072433,1.316986473,0.132350544,Histone H2B,HvInt
833,HORVU.MOREX.r2.1HG0070940,1,0,8.75E-07,1.10E-06,0.854503754,0.085451361,Cytochrome c oxidase assembly protein COX19,HvInt
834,HORVU.MOREX.r2.1HG0070950,3,14053,8.73E-07,0.003904919,2.381221926,0.24163662,Ribosomal protein,HvInt
835,HORVU.MOREX.r2.1HG0071020,5,0,8.77E-07,2.10E-05,1.167516456,0.116770572,Ninja-family protein,HvInt
836,HORVU.MOREX.r2.1HG0071030,21,14053,8.76E-07,0.000837816,14.0046014,1.401214175,Ribonuclease PH,HvInt
837,HORVU.MOREX.r2.1HG0071090,6,7025.005435,8.78E-07,4.88E-05,1.401761681,0.140220114,U-box domain-containing family protein,HvInt
838,HORVU.MOREX.r2.1HG0071140,37,838.1835244,8.78E-07,0.000357046,19.68763775,1.969085116,Auxin-responsive protein,HvInt
839,HORVU.MOREX.r2.1HG0071150,34,0,8.78E-07,0.000607277,11.08852493,1.109399043,Glutamate receptor,HvInt
840,HORVU.MOREX.r2.1HG0071160,1,0,8.73E-07,2.49E-05,0.950114138,0.095033845,"UV-B-induced protein, chloroplastic",HvInt
841,HORVU.MOREX.r2.1HG0071380,68,0,8.77E-07,0.320893555,38.78932759,4.167736958,WD40 repeat-like protein,HvInt
842,HORVU.MOREX.r2.1HG0071390,7,0,8.77E-07,0.000631037,2.902283946,0.290796328,Golgin candidate 5/TATA element modulatory factor,MLA
843,HORVU.MOREX.r2.1HG0071500,16,28102,8.78E-07,0.000198236,5.808657012,0.581044113,Pirin-like protein,HvInt
844,HORVU.MOREX.r2.1HG0071510,1,0,8.77E-07,1.69E-06,0.835610947,0.083562619,Photosystem I reaction center subunit VI,HvInt
845,HORVU.MOREX.r2.1HG0071810,6,0.005434783,8.78E-07,7.10E-05,0.98922358,0.098986254,3-deoxy-manno-octulosonate cytidylyltransferase,HvInt
846,HORVU.MOREX.r2.1HG0071840,2,0,8.76E-07,7.79E-06,0.979142125,0.097921222,Cytochrome P450 family protein,HvInt
847,HORVU.MOREX.r2.1HG0071870,3,0,8.75E-07,4.02E-05,1.189299264,0.118966144,Calcium binding,HvInt
848,HORVU.MOREX.r2.1HG0072050,6,0,8.77E-07,0.000258191,2.636792569,0.263911628,Homeobox protein,HvInt
849,HORVU.MOREX.r2.1HG0072060,2,0,8.75E-07,1.16E-05,1.023669019,0.102377363,Cytochrome P450 family protein,HvInt
850,HORVU.MOREX.r2.1HG0072210,29,7027.055556,8.78E-07,0.000523404,14.15497289,1.415968353,Auxin response factor,HvInt
851,HORVU.MOREX.r2.1HG0072300,5,0,8.77E-07,0.000833137,1.52223997,0.152973821,E3 SUMO-protein ligase MMS21,HvInt
852,HORVU.MOREX.r2.1HG0072330,3,0,8.77E-07,0.000207965,2.600283139,0.260215482,"Glutaredoxin, putative",HvInt
853,HORVU.MOREX.r2.1HG0072380,3,0,8.76E-07,0.000225154,2.621151296,0.262317768,"Glutaredoxin, putative",HvInt
854,HORVU.MOREX.r2.1HG0072390,18,7025,8.78E-07,0.005882844,7.407527958,0.746047355,Splicing factor U2af small subunit A,MLA
855,HORVU.MOREX.r2.1HG0072790,42,0,8.78E-07,0.117863862,18.77497605,1.98357508,60S ribosomal protein L18a,HvInt
856,HORVU.MOREX.r2.1HG0072860,3,0,8.77E-07,0.00584982,1.041576992,0.109422537,Urease accessory protein ureG,MLA
857,HORVU.MOREX.r2.1HG0072870,3,0,8.76E-07,0.007397245,1.099399556,0.116597476,Phosphoinositide phosphatase family protein,MLA
858,HORVU.MOREX.r2.1HG0073000,9,6,8.78E-07,2.64E-05,4.764327935,0.476456557,WRKY transcription factor,HvInt
859,HORVU.MOREX.r2.1HG0073100,6,0,8.77E-07,0.006711062,1.843769481,0.190416903,ABC transporter ATP-binding protein ARB1,MLA
860,HORVU.MOREX.r2.1HG0073140,6,17657.49521,8.78E-07,7.00E-05,1.338911656,0.133954183,ABC transporter ATP-binding protein ARB1,MLA
861,HORVU.MOREX.r2.1HG0073180,7,0,8.77E-07,6.34E-05,1.456374009,0.145694457,Mitogen-activated protein kinase,HvInt
862,HORVU.MOREX.r2.1HG0073230,79,461493.2313,8.78E-07,0.001197186,22.34198704,2.235276172,Kinase family protein,MLA
863,HORVU.MOREX.r2.1HG0073250,11,10010,8.77E-07,0.000313456,3.697588151,0.370040926,"GDP-mannose-3',5'-epimerase",MLA
864,HORVU.MOREX.r2.1HG0073380,25,0,8.78E-07,0.012908834,19.30103355,1.941721306,Eukaryotic translation initiation factor 3 subunit D,MLA
865,HORVU.MOREX.r2.1HG0073410,15,0,8.78E-07,0.000240355,2.371219373,0.237338257,Cold acclimation protein,HvInt
866,HORVU.MOREX.r2.1HG0073450,26,1728.384276,8.78E-07,0.010488528,5.362994313,0.545739106,"Chlorophyll a-b binding protein, chloroplastic",HvInt
867,HORVU.MOREX.r2.1HG0073470,26,29756.89848,8.78E-07,0.006896465,4.671239313,0.473330749,"Chlorophyll a-b binding protein, chloroplastic",HvInt
868,HORVU.MOREX.r2.1HG0073500,26,3184.798383,8.78E-07,0.008582746,4.915873316,0.499311803,"Chlorophyll a-b binding protein, chloroplastic",HvInt
869,HORVU.MOREX.r2.1HG0073510,26,2406.989682,8.78E-07,0.008875883,5.023483797,0.510336674,"Chlorophyll a-b binding protein, chloroplastic",HvInt
870,HORVU.MOREX.r2.1HG0073610,1,0,8.75E-07,0.000372794,0.924389033,0.092774418,Kinase-related protein DUF1296,HvInt
871,HORVU.MOREX.r2.1HG0073660,5,0,8.77E-07,0.004614092,1.474662904,0.151618974,Subtilisin-like protease,MLA
872,HORVU.MOREX.r2.1HG0073710,3,0,8.74E-07,0.00770493,2.883299356,0.295264373,GTPase Era,HvInt
873,HORVU.MOREX.r2.1HG0073720,23,0,8.77E-07,0.064865403,13.11483236,1.369862099,Ribosomal RNA large subunit methyltransferase E,HvInt
874,HORVU.MOREX.r2.1HG0073870,17,14047,8.78E-07,7.17E-05,2.828924001,0.282956951,Sugar transporter protein,HvInt
875,HORVU.MOREX.r2.1HG0073890,7,0,8.77E-07,0.001011958,2.109122293,0.211822992,Chalcone synthase,HvInt
876,HORVU.MOREX.r2.1HG0073960,3,0,8.77E-07,0.004571706,0.985370363,0.102651572,O-methyltransferase,MLA
877,HORVU.MOREX.r2.1HG0074000,17,0,8.78E-07,0.000112328,3.103343806,0.310435476,Sugar transporter protein,HvInt
878,HORVU.MOREX.r2.1HG0074020,3,0,8.75E-07,0.000475212,1.145107525,0.114938443,3-ketoacyl-CoA synthase,HvInt
879,HORVU.MOREX.r2.1HG0074040,6,14053,8.78E-07,4.48E-06,1.544466053,0.154450639,Iron-sulfur cluster assembly protein,HvInt
880,HORVU.MOREX.r2.1HG0074060,9,14038,8.77E-07,0.008268969,3.632592325,0.370701304,50S ribosomal protein L7/L12,MLA
881,HORVU.MOREX.r2.1HG0074070,18,665,8.78E-07,0.006140628,7.89452132,0.794978697,MYB transcription factor,MLA
882,HORVU.MOREX.r2.1HG0074170,2,0,8.75E-07,0.004318283,1.073296422,0.111216097,Short chain dehydrogenase/reductase,HvInt
883,HORVU.MOREX.r2.1HG0074180,6,21085,8.74E-07,6.15E-05,2.624873877,0.262542755,Serine protease,HvInt
884,HORVU.MOREX.r2.1HG0074290,17,0,8.77E-07,0.00013259,4.48323979,0.44844331,G-box binding factor,HvInt
885,HORVU.MOREX.r2.1HG0074300,6,0,8.77E-07,0.005030727,2.772703164,0.281797971,Aldose 1-epimerase-like,HvInt
886,HORVU.MOREX.r2.1HG0074340,10,32,8.76E-07,9.50E-05,4.401710198,0.440256534,"Ubiquitin ligase protein cop1, putative isoform 1",HvInt
887,HORVU.MOREX.r2.1HG0074360,3,0,1.94E-08,0,2.874736372,0.287473637,Protein ROOT PRIMORDIUM DEFECTIVE 1,HvInt
888,HORVU.MOREX.r2.1HG0074590,35,591.9167808,8.78E-07,0.025949557,4.110049961,0.434359598,Histone H4,HvInt
889,HORVU.MOREX.r2.1HG0074680,1,0,8.76E-07,5.91E-07,0.877518492,0.087752381,Nuclear transcription factor Y subunit B,HvInt
890,HORVU.MOREX.r2.1HG0074710,37,6967,8.78E-07,0.022961885,15.16682502,1.537348198,Ketol-acid reductoisomerase (NADP(+)),MLA
891,HORVU.MOREX.r2.1HG0074920,67,27835.3811,8.78E-07,0.028973176,40.21860548,4.047936406,Proteasome subunit beta type,MLA
892,HORVU.MOREX.r2.1HG0074950,18,35387.80216,8.78E-07,1.91E-06,7.472290525,0.747230776,Zinc finger CCCH domain protein,HvInt
893,HORVU.MOREX.r2.1HG0075070,0,0,1.94E-08,8.02E-05,0,7.22E-05,"Protein CHUP1, chloroplastic",HvInt
894,HORVU.MOREX.r2.1HG0075160,62,62961.84652,8.78E-07,0.003992721,16.30758546,1.634351995,Mitogen-activated protein kinase,MLA
895,HORVU.MOREX.r2.1HG0075170,85,593.7192502,8.78E-07,0.002569877,15.85857267,1.588170156,Auxin efflux carrier component,HvInt
896,HORVU.MOREX.r2.1HG0075180,6,0,8.77E-07,0.000441576,2.028439298,0.203241348,ATP-dependent RNA helicase,HvInt
897,HORVU.MOREX.r2.1HG0075250,8,0,8.77E-07,0.00418725,1.30420225,0.13418875,Flavin-containing monooxygenase,MLA
898,HORVU.MOREX.r2.1HG0075270,30,28102,8.78E-07,0.005875182,7.220290252,0.727316689,Isoprenylcysteine alpha-carbonyl methylesterase ICME,MLA
899,HORVU.MOREX.r2.1HG0075440,7,1,8.77E-07,0.001085566,2.644997019,0.265476711,Transcription elongation factor 1,HvInt
900,HORVU.MOREX.r2.1HG0075570,12,0,8.78E-07,0.002243703,1.607792338,0.162798567,Histone H2B,HvInt
901,HORVU.MOREX.r2.1HG0075630,17,0,8.78E-07,0.000107623,3.136489747,0.313745835,Sugar transporter protein,HvInt
902,HORVU.MOREX.r2.1HG0075640,5,0,8.77E-07,0.001700819,1.053755806,0.106906318,DNA-3-methyladenine glycosylase 1,HvInt
903,HORVU.MOREX.r2.1HG0075660,17,0,8.77E-07,0.000416034,5.947325198,0.59510695,ZF-HD homeobox protein,HvInt
904,HORVU.MOREX.r2.1HG0075740,23,0,8.77E-07,0.00173842,9.098101504,0.911374728,Anaphase-promoting complex subunit 10,HvInt
905,HORVU.MOREX.r2.1HG0075760,1,0,8.74E-07,4.27E-05,0.91664003,0.091702413,Glucose-1-phosphate adenylyltransferase,HvInt
906,HORVU.MOREX.r2.1HG0075820,2,0,8.78E-07,0.00011508,0.894984032,0.089601975,"Phosphatidate cytidylyltransferase, mitochondrial",HvInt
907,HORVU.MOREX.r2.1HG0075860,9,0,8.77E-07,0.005427785,2.72978094,0.277863101,Chaperone protein DnaJ,HvInt
908,HORVU.MOREX.r2.1HG0075920,2,7027,8.74E-07,1.24E-06,1.421493585,0.142150472,Solanesyl diphosphate synthase family protein,HvInt
909,HORVU.MOREX.r2.1HG0075930,22,8937,8.78E-07,0.001588562,5.319206602,0.533350366,Mitogen-activated protein kinase,HvInt
910,HORVU.MOREX.r2.1HG0076120,4,0,8.77E-07,0.006430285,1.196431848,0.125430441,Asparagine synthetase,MLA
911,HORVU.MOREX.r2.1HG0076210,3,0,8.78E-07,0.000112947,2.496142105,0.249715863,"Glutaredoxin, putative",HvInt
912,HORVU.MOREX.r2.1HG0076230,2,0,8.77E-07,0.000451574,1.782661895,0.178672606,"Glucan endo-1,3-beta-glucosidase 3",HvInt
913,HORVU.MOREX.r2.1HG0076290,2,0,8.77E-07,0.000520405,1.811384315,0.181606796,"Glucan endo-1,3-beta-glucosidase 3",HvInt
914,HORVU.MOREX.r2.1HG0076320,1,0,8.76E-07,4.94E-07,0.868123093,0.086812754,"Sugar transporter, putative",HvInt
915,HORVU.MOREX.r2.1HG0076430,3,0.005434783,8.78E-07,5.11E-05,0.838423208,0.083888322,Late embryogenesis abundant protein Lea14,HvInt
916,HORVU.MOREX.r2.1HG0076490,1,0,8.76E-07,2.70E-05,0.848989441,0.084923273,Protein ABIL1,HvInt
917,HORVU.MOREX.r2.1HG0076500,38,7027,8.78E-07,0.006042208,7.955443051,0.800982292,Calcium-dependent protein kinase,MLA
918,HORVU.MOREX.r2.1HG0076590,0,0,1.94E-08,8.02E-05,0,7.22E-05,Indole-3-acetic acid-amido synthetase GH3.3,HvInt
919,HORVU.MOREX.r2.1HG0076620,46,0,8.78E-07,0.000508755,15.09886918,1.510344797,Amino acid transporter family protein,HvInt
920,HORVU.MOREX.r2.1HG0076630,36,0,8.78E-07,0.074747788,15.55420024,1.622693033,Transducin/WD40 repeat-like superfamily protein,HvInt
921,HORVU.MOREX.r2.1HG0076680,4,0,8.77E-07,7.25E-05,1.466821086,0.146747365,Disease resistance protein (NBS-LRR class) family,HvInt
922,HORVU.MOREX.r2.1HG0076850,1,0,8.77E-07,8.45E-05,0.844270581,0.084503096,Protein phosphatase 2C family protein,HvInt
923,HORVU.MOREX.r2.1HG0076940,76,157905.5734,8.78E-07,0.010399147,33.8112512,3.390484352,TPR repeat-containing thioredoxin TTL1,MLA
924,HORVU.MOREX.r2.1HG0077030,1,0,8.72E-07,0.000180468,0.987846593,0.098947081,Tryptophan synthase alpha chain,HvInt
925,HORVU.MOREX.r2.1HG0077060,13,0,8.77E-07,0.00869981,2.998950056,0.307724835,Structural maintenance of chromosomes protein,HvInt
926,HORVU.MOREX.r2.1HG0077180,21,0,8.78E-07,0.000325779,4.934269156,0.493720116,dihydroflavonol 4-reductase/flavanone protein,HvInt
927,HORVU.MOREX.r2.1HG0077230,3,0,8.77E-07,0.001337387,2.067494196,0.207953068,Lysine-specific demethylase,HvInt
928,HORVU.MOREX.r2.1HG0077240,3,0,8.78E-07,4.24E-05,0.914149764,0.091453127,Trimethylguanosine synthase,HvInt
929,HORVU.MOREX.r2.1HG0077380,6,859.1729604,8.78E-07,2.66E-05,1.144800734,0.114504007,Lectin receptor kinase,HvInt
930,HORVU.MOREX.r2.1HG0077450,7,0,8.77E-07,0.005583396,1.38925973,0.143951029,RNA binding protein,HvInt
931,HORVU.MOREX.r2.1HG0077460,0,0,1.94E-08,8.02E-05,0,7.22E-05,Kinase family protein,HvInt
932,HORVU.MOREX.r2.1HG0077620,2,2200,8.77E-07,1.68E-08,0.801859441,0.080185959,Kinase family protein,HvInt
933,HORVU.MOREX.r2.1HG0077860,11,1448.878185,8.78E-07,0.000168013,3.23115347,0.323266558,"Transcription factor, putative",HvInt
934,HORVU.MOREX.r2.1HG0077870,5,0,8.77E-07,0.000138106,3.405993037,0.340723599,ATP-dependent Clp protease proteolytic subunit,HvInt
935,HORVU.MOREX.r2.1HG0077880,1,0,8.73E-07,2.47E-05,0.948802939,0.094902518,2-aminoethanethiol dioxygenase,HvInt
936,HORVU.MOREX.r2.1HG0077910,48,35214,8.77E-07,0.002922386,13.43339293,1.345969441,DNA damage-binding protein 1,MLA
937,HORVU.MOREX.r2.1HG0078080,52,7027,8.78E-07,0.144546265,21.00751022,2.23084266,"Translation initiation factor if-2, putative",MLA
938,HORVU.MOREX.r2.1HG0078200,22,9435,8.78E-07,0.008667411,6.395186655,0.647319335,V-type proton ATPase subunit C,MLA
939,HORVU.MOREX.r2.1HG0078260,64,42504.54608,8.78E-07,0.018433142,16.61270586,1.677860413,Phosphatase 2C,MLA
940,HORVU.MOREX.r2.1HG0078280,3,0,8.77E-07,0.005411006,1.018938327,0.106763738,Flavonoid 3'-hydroxylase,MLA
941,HORVU.MOREX.r2.1HG0078290,21,0,8.77E-07,0.007634855,5.749169682,0.581788337,TATA-binding protein associated factor-like protein,HvInt
942,HORVU.MOREX.r2.1HG0078310,3,0,8.74E-07,8.12E-06,2.706062042,0.27061351,ATP-dependent zinc metalloprotease FTSH protein,HvInt
943,HORVU.MOREX.r2.1HG0078380,12,0,8.78E-07,0.000464285,5.724018061,0.572819663,Protein kinase,HvInt
944,HORVU.MOREX.r2.1HG0078390,2,0,8.75E-07,9.38E-05,0.983000152,0.098384441,Early flowering 3,HvInt
945,HORVU.MOREX.r2.1HG0078410,14,0,8.77E-07,0.00741104,6.504946903,0.657164626,ATP-dependent RNA helicase,MLA
946,HORVU.MOREX.r2.1HG0078440,4,0,8.74E-07,0.000662256,3.658492726,0.366445303,Small nuclear ribonucleoprotein,HvInt
947,HORVU.MOREX.r2.1HG0078510,2,1,1.94E-08,0,1.753399879,0.175339988,UDP-glucose-4-epimerase,HvInt
948,HORVU.MOREX.r2.1HG0078550,6,0.005434783,8.78E-07,0.006906327,3.530847699,0.359300464,Nucleoside diphosphate kinase,MLA
949,HORVU.MOREX.r2.1HG0078580,51,13189.47647,8.78E-07,0.00134733,18.05059093,1.80627169,Non-specific serine/threonine protein kinase,HvInt
950,HORVU.MOREX.r2.1HG0078620,3,0,8.77E-07,0.000118855,2.515668118,0.251673781,"Ring finger protein, putative",HvInt
951,HORVU.MOREX.r2.1HG0078630,12,26,8.76E-07,0.003254342,3.500423021,0.35297121,Structural maintenance of chromosomes family protein,HvInt
952,HORVU.MOREX.r2.1HG0078660,9,39,8.77E-07,1.53E-05,1.471513583,0.147165138,Reticulon-like protein,HvInt
953,HORVU.MOREX.r2.2HG0078890,3,0,8.77E-07,0.004161881,0.975020607,0.101247754,Cysteine synthase,MLA
954,HORVU.MOREX.r2.2HG0079060,55,2227.71529,8.78E-07,0.001713964,18.55223325,1.856765893,Ethylene receptor,HvInt
955,HORVU.MOREX.r2.2HG0079570,8,0,8.77E-07,0.001024184,3.200956007,0.321017366,Pyruvate dehydrogenase E1 component subunit alpha,HvInt
956,HORVU.MOREX.r2.2HG0079710,23,7104,8.77E-07,0.005584845,5.537723207,0.558798681,Peptidyl-prolyl cis-trans isomerase,HvInt
957,HORVU.MOREX.r2.2HG0079720,3,0,8.75E-07,0.002409828,1.676444338,0.169813279,tRNA-dihydrouridine(47) synthase [NAD(P)(+)],HvInt
958,HORVU.MOREX.r2.2HG0079820,16,0,8.78E-07,7.45E-05,6.382860759,0.638353158,WRKY transcription factor,HvInt
959,HORVU.MOREX.r2.2HG0079830,10,0,8.77E-07,0.000447693,3.275640358,0.32796696,TOM1-like protein 2,HvInt
960,HORVU.MOREX.r2.2HG0079860,10,0,8.78E-07,0.001465229,3.446506393,0.345969345,Flavin-containing monooxygenase,HvInt
961,HORVU.MOREX.r2.2HG0079930,22,70227.5,8.76E-07,0.00837093,16.78134216,1.685668053,Protein transport Sec24-like protein,MLA
962,HORVU.MOREX.r2.2HG0080060,32,0,8.77E-07,0.000434869,15.77088749,1.577480132,Receptor-like protein kinase,HvInt
963,HORVU.MOREX.r2.2HG0080140,30,4694.507928,8.78E-07,0.000558982,7.663499898,0.766853073,Cytochrome P450 family protein,HvInt
964,HORVU.MOREX.r2.2HG0080150,6,7023,8.76E-07,6.85E-05,4.67024357,0.467085983,Fructokinase-2,HvInt
965,HORVU.MOREX.r2.2HG0080580,6,262.7374121,8.78E-07,2.66E-05,1.103707918,0.110394763,Protein kinase,HvInt
966,HORVU.MOREX.r2.2HG0080620,6,264.7374121,8.78E-07,3.18E-05,1.115936014,0.111622234,Protein kinase,HvInt
967,HORVU.MOREX.r2.2HG0080700,3,0,8.77E-07,0.005181621,1.014850741,0.106148533,Pectate lyase,MLA
968,HORVU.MOREX.r2.2HG0081610,7,0,8.77E-07,0.001167146,2.160729335,0.217123365,Chalcone synthase,HvInt
969,HORVU.MOREX.r2.2HG0081770,64,48547.10247,8.78E-07,0.023176675,33.57658584,3.378517592,Actin-related protein,MLA
970,HORVU.MOREX.r2.2HG0082090,15,0,8.77E-07,0.004781255,3.039048765,0.308208006,ABC transporter B family protein,MLA
971,HORVU.MOREX.r2.2HG0082260,5,0.75,8.71E-07,0,1.17537152,0.117537152,Carboxymethylenebutenolidase-like protein,HvInt
972,HORVU.MOREX.r2.2HG0082280,3,0.005434783,8.78E-07,9.53E-05,0.870068174,0.087092615,Nicotianamine synthase,HvInt
973,HORVU.MOREX.r2.2HG0082400,7,0,8.77E-07,0.001154827,2.172995348,0.218338879,Chalcone synthase,HvInt
974,HORVU.MOREX.r2.2HG0082480,8,0,8.76E-07,0.00464154,1.657473681,0.169924754,Arginase,HvInt
975,HORVU.MOREX.r2.2HG0082540,8,37565.03999,8.78E-07,7.20E-05,4.940771097,0.494141925,3-ketoacyl-CoA thiolase,MLA
976,HORVU.MOREX.r2.2HG0082620,54,14998.40277,8.78E-07,0.000341928,6.637873959,0.664095131,Stress responsive A/B barrel domain protein,HvInt
977,HORVU.MOREX.r2.2HG0082640,54,8836.792772,8.78E-07,0.000352542,6.685788707,0.668896159,Stress responsive A/B barrel domain protein,HvInt
